GISS Record,Record,Species name,Country,State / Province,1.1.GISS - Impacts on plants or vegetation - Impact description,Plants_score,Plants_Confidence_level,"1.2.GISS - Impacts on animals through predation, parasitism, or intoxication - Impact description",Animals_score,Animals_Confidence_level,1.3.GISS - Impacts on other species through competition - Impact description,Competition_score,Competition_Confidence_level,1.4.GISS - Impacts on ecosystems - Impact description,Ecosystems_score,Ecosystems_Confidence_level,1.5.GISS -  Impacts through transmission of diseases or parasites to native species - Impact description,Diseases_score,Diseases_Confidence_level,1.6.GISS - Impacts through hybridization - Impact description,Hybridization_score,Hybridization_Confidence_level,2.1.Impacts on agricultural production,Crops_score,Crops_Confidence_level,2.2.Impacts on animal production,Animal.production_score,Animal.production_Confidence_level,2.3.Impacts on forestry production,Forestry_score,Forestry_Confidence_level,2.4.Impacts on human infrastructure and administration,Infrastructure_score,Infrastructure_Confidence_level,2.5.Impacts on human health,Health_score,Health_Confidence_level,Health_type,2.6.Impacts on human social life,Social_score,Social_Confidence_level,GISS - environment,GISS - socioeconomic,GISS- TOTAL Impact,Comments,Methodology queries,Reference Code,Year,Full Reference
328,257.4,Trichomyrmex destructor,Malaysia,Penang,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""A survey on structure-infesting ants in food preparative outlets (university cafetarias, coffee shops, residential kitchens, and hotel kitchens) in Penang Island, Malaysia was conducted using index card methods. The Singapore ant, M. destructor (27.8%) is the most dominant species, followed by ghost ants (T.melanocephalum) (19.5%), Pheidole sp. (16.4%), M. floricola (10.8%) and crazy ants (P. longicornis) (9.0%).""",2,3,Indoor (Occurrence),NI,0,NI,0,2,2,,,Lee et al_2002,2002,"Lee CY, Lim CY, Darah I. 2002. Survey on structure-infesting ants (Hymenoptera: Formicidae) in food preparative outlets. Tropical Biomedicine 19(1&2): 21-26"
449,317,Solenopsis geminata,India,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""A three-year-old male child was suddenly started crying while playing in the kitchen garden. His parents noticed that he was stung by eight-ten red fire ants on the left upper limb. He started itching and within was taken to a primary health center where the initial treatment was given. He was then referred to our hospital after developing anaphylactic shock. He suffered from similar attack in the past but developed few minutes he developed rashes, angioedema, breathlessness and wheezing. Immediately he  mild local reaction and recovered after treatment with oral antihistaminic and steroid.... But despite the entire supportive management child died within one hour after admission.""",3,3,Attack,NI,0,NI,0,3,3,"difficult to determine impact level, serious impact but not widespread",,Purkait et al_2014,2014,"Purkait R, Das B, Saha A, Bhattacharya S, Mondal M, Roy B. 2014. Fatal anaphylaxis following multiple red fire ant stings. Journal of Dental and Medical Sciences 13(3): 46-48"
563,13,Diacamma vagans,Filippines,Los Baños,,,,Records of ants feeding on salticids in nature,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,Nelson et al_2004,2004,"Nelson XJ, Jackson RR, Pollard SD, Edwards GB, Barrion AT. 2004. Predation by ants on jumping spiders (Araneae: Salticidae) in the Philippines. New Zealand Journal of Zoology 31: 45–56."
41,40.2,Doleromyrma darwiniana,New Zealand,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"102,000 NZD is the Auckland Council expenditure (2015-2016) for monitoring, surveillance and control of AA on Great Barrier Island",2,3,NI,0,NI,,NI,0,NI,0,2,2,,,none,2016,"Jeff Cook, Auckland Council, jeff.cook@aucklandcouncil.govt.nz, personal communication to M. Cooling"
43,41.2,Doleromyrma darwiniana,New Zealand,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"15,000 NZD is Great Barrier Island local board surveillance program (2015-2016) costs for AA",2,3,NI,0,NI,,NI,0,NI,0,2,2,,,none,2016,"Jeff Cook, Auckland Council, jeff.cook@aucklandcouncil.govt.nz, personal communication to M. Cooling"
45,42.2,Doleromyrma darwiniana,New Zealand,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,"15,000 NZD is the Auckland Council expenditure (2015-2016) for monitoring, surveillance and control of AA on Kawau Island",2,3,NI,0,NI,,NI,0,NI,0,2,2,,,none,2016,"Jeff Cook, Auckland Council, jeff.cook@aucklandcouncil.govt.nz, personal communication to M. Cooling"
59,55.2,Doleromyrma darwiniana,New Zealand,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,0,NI,0,NI,NI,0,NI,5000 NZD is the cost of baits provided to Landcare groups to control ants in New Zealand,2,3,NI,0,NI,,NI,0,NI,0,2,2,,,none,2016,"Steve Henderson, Northland Regional Council, steveh@nrc.govt.nz, personal communication to M. Cooling, 2016"
400,291.1,Doleromyrma darwiniana,New Zealand,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,"“…indicated that establishment failure was associated with predation, mainly by invasive ants of South American (Linepithema humile), and Australian (Doleromyrma darwiniana; Nylanderia sp.) origin that were attracted to invasive honeydew-secreting scale insects (Parasaissetia nigra and Saissetia oleae) found on boneseed. An exclusion experiment showed that unless invertebrate predators (mainly invasive ants and Vespula and Polistes wasps) were excluded, BSLR larvae did not survive to maturity on boneseed plants infested with scale insects. """,2,3,NI,0,NI,,NI,0,NI,0,2,2,"Unsure where to group, impacting control of another invasive species",,Paynter et al_2012,2012,"Paynter Q, Forgie SA, Winks CJ, Peterson PG, Ward DF, Nicholson L, Van Zoelen R. 2012. Biotic resistance: facilitation between invasive Homoptera and invasive ants limits the establishment of an introduced weed biocontrol agent in New Zealand. Biological Control 63: 188-194"
564,14,Dolichoderus bituberculatas,Filippines,Los Baños,,,,Records of ants feeding on salticids in nature,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,Nelson et al_2004,2004,"Nelson XJ, Jackson RR, Pollard SD, Edwards GB, Barrion AT. 2004. Predation by ants on jumping spiders (Araneae: Salticidae) in the Philippines. New Zealand Journal of Zoology 31: 45–56."
1017,467,Dorylus laevigatus,Malaysia,Readang Island,,,,"In Chagar Hutang, Redang Island, Dorylus laevigatus and Pheidologeton affinis were the dominant predatory ant species of the green turtle nests, and it was hypothesized that they were competitors to each other. Both species consisted of polymorphic workers, and conducted mass raiding upon turtle nests. As a result of the observation of foraging behavior of ant species in 2004 by using food traps, D. laevigatus (a subterranean species) shared the bait with some terrestrial ant species in the early stage of the experiment except P. affinis. However, P. affinis was a terrestrial species and established satellite nests in the traps to occupy the bait. Traps placed in the habitat of Anoplolepis gracilipes were immediately occupied by them during whole experimental period and other terrestrial ant species were not found in the traps. Anoplolepis gracilipes seemed to be the strongest competitor among the terrestrial ant species in Chagar Hutang, which might result in reduction of the population number of P. affinis with the existence of A. gracilipes. As a result, D. laevigatus became a major predator upon turtle nests, which might have caused the high rate of predation incidences in this area in 2004. The elimination of A. gracilipes may reduce predation incidences upon turtle nests by D. laevigatus.",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,Morita et al_2006,2006,"Morita M, Ahmad AH, Chan EH. 2006. Implication of predation incidences by ant species on green turtle nests in Chagar Hutang, Readang Island, pp. 21–26 In Proceedings of the 3rd International Symposium on SEASTAR2000 and Asian Biologging Science The 7th SEASTAR2000 Workshop."
284,232,Linepithema humile,United States,California,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""A year-long survey (from July 1, 2005 to June 31, 2006) of ant control was conducted by Lloyd Pest Control in San Diego, California, and Ed Evans Pest Control in Phoenix, Arizona.... The majority of Argentine ant infestations were located outside (Table 1) in residential accounts… A majority (72%) of customers considered the ants a nuisance, despite the fact that most infestations were located outside.""",2,3,Outdoor (Occurrence),NI,0,NI,0,2,2,,,Field et al_2007,2007,"Field HC, Evans WE, Hartley R, Hansen LD, Klotz JH. 2007. A survey of structural ant pests in the southwestern U.S.A. (Hymenoptera: Formicidae). Sociobiology 49(2): 1-14"
1118,568,Dorymyrmex pyramicus,Bahamas,central Exumas,,,,,,,"Numerous studies have demonstrated the existence of intra- and interspecific competition among ants, but few have investigated direct competitive interactions between ants and other taxa. In this paper, I present the first evidence of direct competitive interactions between ants and crabs. Evidence of competition for food between ants and the land hermit crab, Coenobita clypeatus (Herbst), was derived from observations and experiments in an archipelago of small islands in the central Exumas, Bahamas. Correlational evidence of competition for food based on occurrences at baits was found between ants and hermit crabs in multiple years. Observations at baits over time revealed species turnover occurred due to aggressive interactions. C. clypeatus discovered food items rapidly, but lost control of food over time, particularly to the ant Brachymyrmex obscurior Forel, which took longer to find food items but recruited large numbers of workers that drove off hermit crabs. A second ant species, Dorymyrmex pyramicus Roger, discovered baits quickly but did not recruit to baits in large numbers, and was not a superior competitor to either C. clypeatus or B. obscurior. Competition between ants and land hermit crabs was not intense enough to cause complementary distributions, and mechanisms of coexistence apparently include temporal variation in foraging activity and complementary foraging strategies when ants and crabs are active at the same time. Because of the widespread distributions and generalist scavenger diets of many ants and crabs, such competitive interactions are likely to be a common facet of many tropical and subtropical insular and coastal communities.",1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,Morrison_2002b,2002,Morrison LW. 2002. Interspecific competition and coexistence between ants and land hermit crabs on small Bahamian islands. Acta Oecologica 23: 223–229.
825,275,Ectatomma ruidum,Costa Rica,Provincia Heredia,,,,,,,"We compared ant and herbivore abundance, herbivore damage and growth of ant-visited plants and ant-excluded plants grown in sun and shade microhabitats of a 6-ha plantation in Costa Rica over a 7-month period. Results show that ants provided protection to plants not by reducing herbivore numbers but by molesting herbivores. .... Three species were present consistently: Wasmannia auropunctata (49%), Ectatomma ruidum (23%), and an unidentified species of Wasmannia (18%).",2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,de la Fuente & Marquis_1999,1999,"de la Fuente, Ann M, Marquis RJ. 1999. The role of ant-tended extrafloral nectaries in the protection and benefit of a Neotropical rainforest tree. Oecologia 118: 192–202."
944,394,Forelius pruinosus,United States,Florida,,,,"Indications are that Solenopsis invieta is particularly aggressive to other ant species on its own Fifty species of ants representing 6 subfamilies were present in Florida soybean fields. An attempt was made to determine both the niche and im- portance of individual species. A somewhat less diverse ant fauna was found in areas heavily infested by Solenopsis invicta Buren; this species it- self was an important predator. In addition to S. invicta, S. geminata (Fabricius), S. pergandei Forel, Pheidole dentata Mayr, P. metalleseens Emery, P. morrisi Forel, Iridomyrmex pruinosus (Roger), Conomyrma pyramicus (Roger) (black form), Nylanderia sp., Paratrechina longicornis (Latreille), and Lasius neoniger Emery were observed to prey extensively on pest insects.",3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,Whitcomb et al_1972,1972,"Whitcomb WH, Denmark HA, Bhatkar AP, Greene GL. 1972. Preliminary studies on the ants of Florida soybean fields. The Florida Entomologist 55: 129–142."
968,418,Formica aquilonia,Norway,Norway,"In temperate forests, red wood ants (Formica aquilonia) are considered ecosystem engineers affecting ecosystem properties and functions. Possible effects of F. aquilonia ants on species communities of invertebrates and plants were studied in the pine-dominated Geitaknottane forest reserve, Norway. Species richness of carabids, lichens and epiphytes (tree-living lichens and bryophytes) was negatively affected by ant mound density. Species of all groups, except for lichens and snails, were affected either posi- tively or negatively by ant presence. Food availability and interference competition are plausible explanations of decreased species richness and negative species associations in carabids; while collecting, foraging and changed chemical environment may explain decreased species richness in lichens and epiphytes. Thirteen out of 15 plant and inver- tebrate species were weakly associated with ant mound density. Associations of only two species (Carabus violaceus and Drusilla canaliculata) were negative, while Pella humeralis and Agroeca proxima were associated positively and very strongly with ant mounds. Positive associations with ants of those invertebrates may be a response to excessive abundance of food and chemical mimicry.... We found a decrease in the number of lichen species (Spearman’s r = –0.58, n = 15, p < 0.03), as well as Gastropoda species (r = –0.84, n = 8, p < 0.01) and individuals (r = –0.79, n = 8, p < 0.02) with increasing number of mounds in a plot..... Regarding plants, species richness of lichens and that of epiphytes were negatively associated with ant mound density, also when only the C. vulgaris–V. uliginosum vegetation sample plots (n = 48) were considered (cf. Table 2).",3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,Thunes et al_2018,2018,"Thunes KH, Gjerde I, Skartveit J. 2018. The Red Wood Ant Formica aquilonia (Hymenoptera?: Formicidae) May Affect Both Local Species Richness and Composition at Multiple Trophic Levels in a Boreal Forest Ecosystem . Annales Zoologici Fennici 55: 159–172."
1094,544,Formica aquilonia,Norway,Norway,,,,,,,"In temperate forests, red wood ants (Formica aquilonia) are considered ecosystem engineers affecting ecosystem properties and functions. Possible effects of F. aquilonia ants on species communities of invertebrates and plants were studied in the pine-dominated Geitaknottane forest reserve, Norway. Species richness of carabids, lichens and epiphytes (tree-living lichens and bryophytes) was negatively affected by ant mound density. Species of all groups, except for lichens and snails, were affected either posi- tively or negatively by ant presence. Food availability and interference competition are plausible explanations of decreased species richness and negative species associations in carabids; while collecting, foraging and changed chemical environment may explain decreased species richness in lichens and epiphytes. Thirteen out of 15 plant and inver- tebrate species were weakly associated with ant mound density. Associations of only two species (Carabus violaceus and Drusilla canaliculata) were negative, while Pella humeralis and Agroeca proxima were associated positively and very strongly with ant mounds. Positive associations with ants of those invertebrates may be a response to excessive abundance of food and chemical mimicry....According to GLM, the number of carabid species was negatively associated with ant mound density (Table 2), also when only the C. vulgaris–V. uliginosum vegetation sample plots were considered. Results for other groups were insignificant (Table 2)",3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,Thunes et al_2018,2018,"Thunes KH, Gjerde I, Skartveit J. 2018. The Red Wood Ant Formica aquilonia (Hymenoptera?: Formicidae) May Affect Both Local Species Richness and Composition at Multiple Trophic Levels in a Boreal Forest Ecosystem . Annales Zoologici Fennici 55: 159–172."
662,112,Formica paralugubris,Italy,Forli',,,,"Starting in 1958, red wood ants (Formica rufa group) from the Alps were transplanted to several Apennine forests along the Italian peninsula to be employed as biological control agents for tree insect pests. In the Campigna Biogenetic Nature Reserve, central Italy, hundreds of mounds of the dominant Formica paralugubris were repeatedly introduced, creating several populations that still survive today.... Local arthropods were severely affected, since almost all collected groups were significantly less represented in impacted than in non-impacted sites. Additionally, experiments with live bait demonstrated that potential prey have a significantly greater probability of being consumed in the areas occupied by F. paralugubris..... Table 3 summarizes the total number of arthropod groups sampled. For many groups, such as Carabids, Diptera, spiders, or harvestmen, the abundance was clearly higher in control sites than in those affected by F. paralugubris. npMANOVA revealed a significant effect of the presence of F. paralugubris (df =1, pseudo F = 16.05, P\0.0001).",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,Frizzi et al_2018,2018,"Frizzi F, Masoni A, Quilghini G, Ciampelli P, Santini G. 2018. Chronicle of an impact foretold: the fate and effect of the introduced Formica paralugubris ant. Biological Invasions 20: 3575–3589."
954,404,Formica paralugubris,Italy,Forli',,,,,,,"Starting in 1958, red wood ants (Formica rufa group) from the Alps were transplanted to several Apennine forests along the Italian peninsula to be employed as biological control agents for tree insect pests. In the Campigna Biogenetic Nature Reserve, central Italy, hundreds of mounds of the dominant Formica paralugubris were repeatedly introduced, creating several populations that still survive today.... As for other ants, we collected 10 different species (Table 4). At AA and FF, ant assemblages were also poor at control sites, and only two or three other species were collected. On the contrary, the control site at LC was quite rich with ten species detected. In impacted areas, no other species were detected with the only exception of Themnothorax sp. (only in one trap in a single site—LC).",4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,Frizzi et al_2018,2018,"Frizzi F, Masoni A, Quilghini G, Ciampelli P, Santini G. 2018. Chronicle of an impact foretold: the fate and effect of the introduced Formica paralugubris ant. Biological Invasions 20: 3575–3589."
1051,501,Hypoponera opaciceps,United States,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,LaPolla et al_2000,2000,"LaPolla JS, Otte D, Spearman LA. 2000. Assessment of the effects of ants on Hawaiian crickets. Orthopterists’ Society 9: 139–148."
180,163,Hypoponera punctatissima,United States,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""Alates of Hypoponera punctissima have been reported several times in commercial buildings in Massachusetts and New York where they land on and sting persons in the building.""",2,1,,NI,0,NI,0,2,2,,many more examples of ant species in homes in this paper,Hedges_2000,2000,"Hedges SA. 2000. Regional pest ant species. In: Proceedings of the 2000 National Conference on Urban Entomology (ed Suiter DR) pp 61-67, Fort Lauderdale, Florida May 14-16 "
249,219,Solenopsis invicta,United States,Texas,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""According to coroner and fire investigator reports, a 68-yr-old woman died of burns when her mobile home caught fire after fire ants caused a short circuit in the electrical wiring (Temple Daily Telegram 1992, Bartlett Fire Department Report 1992). She was asleep when the fire start- ed and died of burns (100% of body surface area) and smoke inhalation. Investigating authorities discovered that the main circuit-breaker panel in her mobile home was filled with dead fire ants, up to a depth of 1 in (2.54 em). Although the wom- an's mobile home was not flooded, investigators concluded that fire ants had crawled up a utility pole and into the mobile home's main circuit-breaker panel to escape flood waters that completely surrounded the mobile home. The presence of the ants in the breaker panel caused a short circuit in the electrical wiring. The ants caused the main feed line to short to the fuse box housing; the feed line then burned through the metal cas- ing and caused the fire. """,3,3,Indoor (Occurrence),NI,0,NI,0,3,3,"difficult to determine impact level, serious impact, not widespread",,Brenner et al_1994,1994,"Brenner SA, Lillibridge SR, Perrotta D, Noji EK. 1994. Fire-related mortality in floods: a newly discovered threat from fire ants. American Entomologist Fall 1994: 147"
429,302,Brachyponera sennaarensis,Iran,Sistan and Baluchestan Province,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""According to the results of questionnaire, 95.2% of the individuals had bitted at least one time with this ant. They were complained from its painful sting…. Sore of biting was tolerable significantly (p<0.01) for majority of them (82.9%) but 12.7% of them were suffered from its painful biting.... Results of survey of biting on volunteer: After 5- 10 sec small vesicles appeared and grew immediately (Fig. 1). Their size may reach to 0.5 cm in Diameter and can join with others and make a large vesicle. Small blisters substituted by inflammation with fine nodules after about 60 min (Fig. 3). After a few hours all of the appearance of biting disappeared but skin itch continued for about 24 h """,2,2,Attack,NI,0,NI,0,2,2,,,Akbarzadeh et al_2006,2006,"Akbarzedah K, Nateghpour M, Tirgari S, Abaei MR. 2006. Medical importance of fire ant Pachycondyla sennaarensis (Hymenoptera: Formicidae) in Iranshahr and Sarbaz counties, Southeastern Iran. Journal of Medical Sciences 6(5): 866-869"
134,123.1,Monomorium floricola,Brazil,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""Among all ants collected, 66 (48. %) were contaminated... Ant workers carried from two to four different fungi strains and four fungi strains were isolated from only one T. melanocephalum worker. Such observations emphasize the need for controlling ants in households and food facilities as aflatoxin isolated from some fungus strains is considered a food contaminant and consequently intolerable in those environments.""",2,2,Indoor (Pathogen),NI,0,NI,0,2,2,,,Zarzuela et al_2007,2007,"Zarzuela MFM, Campos-Farinha AEC, Russomanno OMR, Kruppa PC, Gonçalez E. 2007. Evaluation of urban ants (Hymenoptera: Formicidae) as vectors of microorganisms in residential and industrial environments: II. Fungi. Sociobiology 50(2): 653-658"
135,123.2,Monomorium pharaonis,Brazil,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""Among all ants collected, 66 (48. %) were contaminated... Ant workers carried from two to four different fungi strains and four fungi strains were isolated from only one T. melanocephalum worker. Such observations emphasize the need for controlling ants in households and food facilities as aflatoxin isolated from some fungus strains is considered a food contaminant and consequently intolerable in those environments.""",2,2,Indoor (Pathogen),NI,0,NI,0,2,2,,,Zarzuela et al_2007,2007,"Zarzuela MFM, Campos-Farinha AEC, Russomanno OMR, Kruppa PC, Gonçalez E. 2007. Evaluation of urban ants (Hymenoptera: Formicidae) as vectors of microorganisms in residential and industrial environments: II. Fungi. Sociobiology 50(2): 653-658"
1050,500,Hypoponera punctatissima,United States,,,,,This cryptobiotic lives in small colonies. Solitary foragers seek out food under leaf litter. The impact of this species on crickets is probably minim,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,LaPolla et al_2000,2000,"LaPolla JS, Otte D, Spearman LA. 2000. Assessment of the effects of ants on Hawaiian crickets. Orthopterists’ Society 9: 139–148."
129,118,Lasius neglectus,United Kingdom,England,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,"""Residents in the cottages reported that the ants have been present on the estate for several decades. Their continual presence within their homes, even in winter, is a nuisance, while staff in the catering facilities have to take care to avoid food contamination.""",1,1,,NI,0,NI,0,1,1,,,Boase_2014,2014,"Boase C. 2014. Lasius neglectus (Hymenoptera: Formicidae) in the UK: status, impact and management. In: Proceedings of the Eighth International Conference on Urban Pests (eds Muller G, Pospischil R, Robinson WH) pp 223-228, Zurich, Switzerland July 20-23"
130,119,Lasius neglectus,United Kingdom,England,NI,0,NI,NI,0,NI,NI,0,NI,NI,0,NI,,,,,,,NI,0,NI,NI,0,NI,NI,0,NI,"""Residents in the cottages reported that the ants have been present on the estate for several decades… This ant species is attracted to electrical installations, and in some buildings light switches, power sockets and electrical security systems have been damaged by its activity.""",2,1,NI,0,NI,,NI,0,NI,0,2,2,,,Boase_2014,2014,"Boase C. 2014. Lasius neglectus (Hymenoptera: Formicidae) in the UK: status, impact and management. In: Proceedings of the Eighth International Conference on Urban Pests (eds Muller G, Pospischil R, Robinson WH) pp 223-228, Zurich, Switzerland July 20-23"
595,45,Lasius neglectus,Spain,Barcelona,,,,,,,"Our aim was to investigate the foraging activity of native ants on tree trunks in accordance with their location in forest fragments and the presence or absence of the invasive ant Lasius neglectus. Trees were categorized as isolated, edge, or core trees according to their location in forest fragments. In invaded fragments, Lasius neglectus had the highest spatial-temporal tree visitation. Isolated trees were visited more and for a longer time by this invasive ant. Invaded fragments had low native ant activity on trees compared to fragments without L. neglectus. The few encountered native ant species showed a lower frequency of visitation and for less time in comparison with their spatial-temporal visitation in control fragments. Crematogaster scutellaris and Temnothorax lichtensteini visited all tree categories in both fragments (invaded or control) but Lasius grandis stayed forlongeronisolatedtrees from control fragments. We conclude that in fragments invaded by Lasius neglectus, the richness of native ant foraging on trees was negatively affected... 2.1. Study Area. This study was performed on the campus of the Autonomous University of Barcelona (41?30? N, 2?6? E), an area of 263 ha....Richness of native ants foraging on trees was significantly higher in P = 0.0014, invaded: 6.67 ± 0.31, control: 9.25 ± 0.27) control than in invaded fragments (2006, t =?6.35, df = 5, (Table 2). Relative frequencies of native ants diminished markedly in invaded fragments (Table 2).",4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,Paris & Espadaler_2012,2012,"Paris C, Espadaler X. 2012. Foraging activity of native ants on trees in forest fragments colonized by the invasive ant Lasius neglectus. Psyche (New York) 2012."
751,201,Lasius neglectus,Hungary,Budapest,,,,,,,,,,"The L. neglectus supercolony radically changed the composition of the arthropod assemblage. The diversity of total arthropods, Coleoptera and other Formicidae was lower in the areas with L. neglectus supercolony than in the control areas…. The presence of L. neglectus caused a significant reduction in species richness of Isopoda (P < 0.05) and Formi- cidae (P < 0.05), and a significant increase in Hemiptera (excluding Aphididae) (P < 0.05) (Tab. 1).",3,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,Nagy et al_2009,2009,"Nagy C, Tartally A, Vilisics F, Merkl O, Szita É, Szél G, Podlussány A, Rédei D, Cs?sz S, Pozsgai G, Orosz A, SzöÉnyi G, Markó V. 2009. Effects of the invasive garden ant, lasius neglectus Van Loon, Boomsma & AndráS-Falvy, 1990 (Hymenoptera: Formicidae), On arthropod assemblages: Pattern analyses In the type supercolony. Myrmecological News 12: 171–181."
814,264,Lasius neglectus,Spain,Barcelona,,,,,,,,,,"Ants may indirectly influence decomposition processes by modifying soil physical characteristics and by adding organic matter to soil through their nesting and food collection activities. This effect may be not limited to the ant nest and may occur where ants develop a higher activity, i.e. close to the tree where ants collect honeydew. The aim of this study was to compare decomposition of holm oak litter beneath holm oaks visited by the invasive ant Lasius neglectus or by native ants and depending on the litter quality that each tree type produce. At two sites (UAB and Seva) we choose twelve holm oaks visited by Lasius neglectus or by native ants. We performed a reciprocal litter transfer decomposition experiment. Four litterbags (15x15cm, 1.5mm mesh size) filled with 8g of holm oak litter from trees visited by the invasive or by native ants (litter types) were buried (5cm depth) beneath each tree type. In total we buried 384 litterbags (12 trees X 4 litterbags x 2 litter type x 2 tree type x 2 sites). At 3 months intervals, twelve litterbags per treatment were unburied. Decomposition experiment was performed along one year. Initial and final litter quality was analyzed by near infrared reflectance spectroscopy. At Seva, initial litter quality from holm oaks visited by the invasive ant was the lowest litter quality. Remaining mass and nitrogen immobilization was greater at Seva for litter from holm oaks visited by the invasive ant compared to both litter types from UAB. There were no differences of mass loss between holm oaks visited by any ant species. In general, nitrogen immobilized more beneath holm oaks visited by the invasive ant. We conclude that Lasius neglectus activity at holm oaks did not modify litter decomposition but may affect litter quality and N immobilization.",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,Paris_2007,2007,Paris CI. 2007. Above-belowground effects of the invasive ant Lasius neglectus in an urban holm oak forest.
816,266,Lasius neglectus,Spain,Barcelona,,,,,,,"Our results show that L. neglectus is highly aggressive against all three native Lasius species tested (L. grandis FOREL, 1909, L. emarginatus (OLIVIER, 1792), and L. cinereus SEIFERT, 1992), expressed as a higher attack rate of L. neglectus and behavioural dominance throughout the aggressive encounters. Attacks of L. neglectus were performed fastest and most frequent against L. grandis, and also the highest antennation frequencies were observed in encounters between these two species. This could be due to the largest difference in body size, or due to a greater overlap in ecological niche between L. neglectus and L. grandis com- pared to the other two native species....In approximately 50 % of the aggressive interactions, the ant starting the attack could be determined (52 % (24 / 45) of the aggressive interactions between L. neglectus and L. grandis, 55 % (21 / 38) of the aggressive encounters with L. emarginatus and 39 % (15 / 38) of the fights with L. cinereus). Lasius neglectus started the attacks in the majority of the cases: in 79 % (19 / 24) of the fights against L. grandis, in 76 % (16 / 21) against L. emarginatus, and in 93 % (14 / 15) against L. cinereus. Even though this was always more than 50 % of the encounters, the deviation from 50 : 50 was only sig- nificant for L. cinereus (Fisher's exact tests, 1 df; L. neg- lectus - L. grandis: P = 0.069; L. neglectus - L. emargi- natus: P = 0.197; L. neglectus - L. cinereus P = 0.035). Lasius neglectus workers from the periphery of the supercolony showed a tendency to attack the native ant species more frequently than workers collected from the colony centre (Fig. 1), however the differences were not significant (t-test: L. grandis: t = -1.899, 8 df, P = 0.09; L. emarginatus: t = -0.94, 8 df, P = 0.37; L. cinereus t = -0.882, 7 df, P = 0.41).",2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,Cremer et al_2006,2006,"Cremer S, Ugelvig LVU, Lommen STEL, Petersen KSP, Pedersen JSP. 2006. Attack of the invasive garden ant: aggression behaviour of Lasius neglectus (Hymenoptera?: Formicidae) against native Lasius species in Spain. Myrmecologische Nachrichten 9: 13–19."
